Seattle,seattle,SEA,America/Los_Angeles,47.61,-122.33
San Francisco,sf,SF,America/Los_Angeles,37.78,-122.42
Iowa,iowa,IA,America/Chicago,41.59,-93.62
Chicago,chicago,CHI,America/Chicago,41.88,-87.63
Silicon Valley,sv,SV,America/Los_Angeles,37.44,-122.14
Portland,portland,PDX,America/Los_Angeles,45.52,-122.68
Los Angeles,la,LA,America/Los_Angeles,34.05,-118.25
New York,ny,NYC,America/Detroit,40.67,-73.94
Corvallis,corvallis,CVO,America/Los_Angeles,44.57,-123.28
Boston,boston,BOS,America/Detroit,42.36,-71.06
Austin,austin,AUS,America/Chicago,30.23,-97.77
Columbus,columbus,COL,America/Detroit,39.98,-82.98
Pittsburgh,pittsburgh,PIT,America/Detroit,40.44,-80.00
Kansas City,kansascity,MCI,America/Chicago,39.10,-94.58
Dallas,dallas,DAL,America/Chicago,32.78,-96.80
Denver,denver,DEN,America/Denver,39.74,-104.98
Las Vegas,vegas,VEG,America/Los_Angeles,36.12,-115.14
Houston,houston,HOU,America/Chicago,29.76,-95.38
DC,dc,DC,America/Detroit,38.90,-77.04
Phoenix,phoenix,PHX,America/Denver,33.45,-112.07
Atlanta,atlanta,ATL,America/Detroit,33.76,-84.39
Salt Lake City,slc,SLC,America/Denver,40.75,-111.88
San Diego,sandiego,SD,America/Los_Angeles,32.72,-117.16
Minneapolis,minneapolis,MSP,America/Chicago,44.98,-93.27
St Louis,stlouis,STL,America/Chicago,38.63,-90.20
Omaha,omaha,OMA,America/Chicago,41.25,-96.00
Philadelphia,philly,PHL,America/Detroit,39.95,-75.17
Miami,miami,MIA,America/Detroit,25.79,-80.22
Detroit,detroit,DET,America/Detroit,42.33,-83.05
Orlando,orlando,ORL,America/Detroit,28.42,-81.30
Baltimore,baltimore,BWI,America/Detroit,39.28,-76.62
